times,year,month,date,academic_year,semester,week,weekday,hour,events,subject,student_level,number_of_tutors,duration_s,duration_m
"[10434, 0, 0]",2015,2,19,2014/2015,2,3,4,10,"['FINISH', 'START', 'JOIN']",ACM,1,3,10434,173
"[0, 0, 1572]",2015,2,19,2014/2015,2,3,4,11,"['START', 'JOIN', 'FINISH']",MATH,1,3,1572,26
"[7716, 0, 0, 7784]",2015,2,19,2014/2015,2,3,4,11,"['TRANSFER', 'START', 'JOIN', 'FINISH']",ACM,1,3,68,1
"[0, 0, 2388]",2015,2,19,2014/2015,2,3,4,11,"['START', 'JOIN', 'FINISH']",MATH,1,3,2388,39
"[0, 0, 0, 0, 0, 0, 1836, 6405]",2015,2,19,2014/2015,2,3,4,12,"['START', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'TRANSFER', 'FINISH']",MATH,1,3,4569,76
"[0, 0, 671]",2015,2,19,2014/2015,2,3,4,12,"['START', 'JOIN', 'FINISH']",MATH,1,3,671,11
"[0, 0, 0, 88]",2015,2,19,2014/2015,2,3,4,14,"['START', 'JOIN', 'JOIN', 'FINISH']",STAT,2,2,88,1
"[0, 0, 736]",2015,2,19,2014/2015,2,3,4,14,"['START', 'JOIN', 'FINISH']",STAT,2,2,736,12
"[8920, 0, 0, 0, 0, 0, 0, 1788]",2015,2,19,2014/2015,2,3,4,14,"['FINISH', 'START', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'LEAVE']",STAT,2,2,8920,148
"[8899, 0, 0]",2015,2,19,2014/2015,2,3,4,14,"['FINISH', 'START', 'JOIN']",ACM,1,2,8899,148
"[5928, 0, 0, 0, 0]",2015,2,19,2014/2015,2,3,4,14,"['FINISH', 'START', 'JOIN', 'JOIN', 'JOIN']",MIS,2,2,5928,98
"[0, 3095, 0]",2015,2,19,2014/2015,2,3,4,15,"['JOIN', 'FINISH', 'START']",ACM,1,4,3095,51
"[0, 0, 2343]",2015,2,19,2014/2015,2,3,4,15,"['START', 'JOIN', 'FINISH']",MST,1,4,2343,39
"[0, 0, 583]",2015,2,19,2014/2015,2,3,4,15,"['START', 'JOIN', 'FINISH']",STAT,1,4,583,9
"[0, 0, 3648]",2015,2,19,2014/2015,2,3,4,15,"['START', 'JOIN', 'FINISH']",MST,1,4,3648,60
"[0, 0, 3602]",2015,2,19,2014/2015,2,3,4,15,"['START', 'JOIN', 'FINISH']",MATH,1,4,3602,60
"[0, 0, 3703]",2015,2,20,2014/2015,2,3,5,10,"['START', 'JOIN', 'FINISH']",MATH,1,2,3703,61
"[0, 0, 3911]",2015,2,20,2014/2015,2,3,5,10,"['START', 'JOIN', 'FINISH']",STAT,2,2,3911,65
"[0, 0, 3460]",2015,2,20,2014/2015,2,3,5,12,"['START', 'JOIN', 'FINISH']",MATH,2,2,3460,57
"[0, 0, 0, 2313]",2015,2,20,2014/2015,2,3,5,12,"['START', 'JOIN', 'JOIN', 'FINISH']",MST,1,2,2313,38
"[0, 0, 1069]",2015,2,20,2014/2015,2,3,5,12,"['START', 'JOIN', 'FINISH']",ACM,1,2,1069,17
"[0, 0, 0, 352]",2015,2,20,2014/2015,2,3,5,13,"['START', 'JOIN', 'JOIN', 'FINISH']",MATH,1,1,352,5
"[0, 0, 3867]",2015,2,23,2014/2015,2,4,1,10,"['START', 'JOIN', 'FINISH']",MST,1,3,3867,64
"[0, 0, 3592]",2015,2,23,2014/2015,2,4,1,10,"['START', 'JOIN', 'FINISH']",MATH,1,3,3592,59
"[0, 0, 747]",2015,2,23,2014/2015,2,4,1,10,"['START', 'JOIN', 'FINISH']",ACM,1,3,747,12
"[0, 0, 1299]",2015,2,23,2014/2015,2,4,1,10,"['START', 'JOIN', 'FINISH']",ECON,1,3,1299,21
"[0, 0, 1866]",2015,2,23,2014/2015,2,4,1,10,"['START', 'JOIN', 'FINISH']",MATH,1,3,1866,31
"[0, 0, 0, 3796]",2015,2,23,2014/2015,2,4,1,10,"['START', 'JOIN', 'JOIN', 'FINISH']",MATH,1,3,3796,63
"[0, 0, 4242]",2015,2,23,2014/2015,2,4,1,11,"['START', 'JOIN', 'FINISH']",MATH,1,3,4242,70
"[0, 0, 944]",2015,2,23,2014/2015,2,4,1,11,"['START', 'JOIN', 'FINISH']",ACM,1,3,944,15
"[0, 0, 1745]",2015,2,23,2014/2015,2,4,1,11,"['START', 'JOIN', 'FINISH']",ACM,1,3,1745,29
"[0, 0, 466, 1767]",2015,2,23,2014/2015,2,4,1,11,"['START', 'JOIN', 'TRANSFER', 'FINISH']",STAT,1,3,1301,21
"[0, 0, 109]",2015,2,23,2014/2015,2,4,1,12,"['START', 'JOIN', 'FINISH']",STAT,1,3,109,1
"[0, 0, 1828]",2015,2,23,2014/2015,2,4,1,13,"['START', 'JOIN', 'FINISH']",MST,1,1,1828,30
"[0, 0, 0, 2144]",2015,2,23,2014/2015,2,4,1,14,"['START', 'JOIN', 'JOIN', 'FINISH']",MATH,1,3,2144,35
"[0, 0, 0, 0, 1359]",2015,2,23,2014/2015,2,4,1,14,"['START', 'JOIN', 'JOIN', 'JOIN', 'FINISH']",ACM,1,3,1359,22
"[0, 0, 1166]",2015,2,23,2014/2015,2,4,1,14,"['START', 'JOIN', 'FINISH']",STAT,2,3,1166,19
"[0, 0, 639, 655, 699]",2015,2,23,2014/2015,2,4,1,14,"['START', 'JOIN', 'LEAVE', 'JOIN', 'FINISH']",STAT,1,3,699,11
"[0, 0, 741]",2015,2,23,2014/2015,2,4,1,15,"['START', 'JOIN', 'FINISH']",MST,1,4,741,12
"[0, 0, 2157]",2015,2,23,2014/2015,2,4,1,15,"['START', 'JOIN', 'FINISH']",MST,1,4,2157,35
