times,year,month,date,academic_year,semester,week,weekday,hour,events,subject,student_level,number_of_tutors
"[0, 0, 1704]",2015,2,24,2014/2015,2,4,2,10,"['START', 'JOIN', 'FINISH']",ACM,1,4
"[0, 0, 0, 951]",2015,2,24,2014/2015,2,4,2,10,"['START', 'JOIN', 'JOIN', 'FINISH']",MATH,1,4
"[0, 0, 0, 6]",2015,2,24,2014/2015,2,4,2,10,"['START', 'JOIN', 'JOIN', 'FINISH']",MATH,1,4
"[0, 0, 1506, 1781]",2015,2,24,2014/2015,2,4,2,10,"['START', 'JOIN', 'TRANSFER', 'FINISH']",ACM,1,4
"[0, 0, 0, 991, 998]",2015,2,24,2014/2015,2,4,2,10,"['START', 'JOIN', 'JOIN', 'TRANSFER', 'FINISH']",MATH,1,4
"[0, 0, 0, 0, 1537, 1540]",2015,2,24,2014/2015,2,4,2,10,"['START', 'JOIN', 'JOIN', 'JOIN', 'TRANSFER', 'FINISH']",MATH,1,4
"[0, 0, 799]",2015,2,24,2014/2015,2,4,2,10,"['START', 'JOIN', 'FINISH']",SBUS,1,4
"[0, 0, 0, 0, 4860, 5313]",2015,2,24,2014/2015,2,4,2,10,"['START', 'JOIN', 'JOIN', 'JOIN', 'TRANSFER', 'FINISH']",MATH,1,4
"[0, 0, 3826, 5244, 5275, 5278]",2015,2,24,2014/2015,2,4,2,10,"['START', 'JOIN', 'TRANSFER', 'TRANSFER', 'TRANSFER', 'FINISH']",ACM,1,4
"[0, 0, 4459, 4635]",2015,2,24,2014/2015,2,4,2,11,"['START', 'JOIN', 'TRANSFER', 'FINISH']",MATH,1,4
"[0, 0, 0, 3648, 3644]",2015,2,24,2014/2015,2,4,2,11,"['START', 'JOIN', 'JOIN', 'FINISH', 'TRANSFER']",STAT,2,4
"[2508, 0, 0]",2015,2,24,2014/2015,2,4,2,11,"['FINISH', 'START', 'JOIN']",MATH,1,4
"[0, 0, 5484]",2015,2,24,2014/2015,2,4,2,11,"['START', 'JOIN', 'FINISH']",STAT,2,4
"[0, 0, 149]",2015,2,24,2014/2015,2,4,2,12,"['START', 'JOIN', 'FINISH']",STAT,2,3
"[1115, 0, 0]",2015,2,24,2014/2015,2,4,2,12,"['FINISH', 'START', 'JOIN']",MATH,1,3
"[0, 0, 10709, 17251]",2015,2,24,2014/2015,2,4,2,12,"['START', 'JOIN', 'TRANSFER', 'FINISH']",MATH,1,3
"[0, 0, 93]",2015,2,24,2014/2015,2,4,2,12,"['START', 'JOIN', 'FINISH']",MATH,1,3
"[0, 0, 3371]",2015,2,24,2014/2015,2,4,2,14,"['START', 'JOIN', 'FINISH']",STAT,1,4
"[224, 0, 0]",2015,2,24,2014/2015,2,4,2,14,"['FINISH', 'START', 'JOIN']",STAT,2,4
"[0, 0, 3434]",2015,2,24,2014/2015,2,4,2,14,"['START', 'JOIN', 'FINISH']",MATH,1,4
"[100, 0, 0]",2015,2,24,2014/2015,2,4,2,14,"['FINISH', 'START', 'JOIN']",FR,1,4
"[0, 0, 1034]",2015,2,24,2014/2015,2,4,2,14,"['START', 'JOIN', 'FINISH']",STAT,1,4
"[1125, 0, 0, 0, 988]",2015,2,24,2014/2015,2,4,2,14,"['FINISH', 'START', 'JOIN', 'JOIN', 'TRANSFER']",STAT,2,4
"[0, 0, 1904]",2015,2,24,2014/2015,2,4,2,15,"['START', 'JOIN', 'FINISH']",MATH,1,4
"[0, 0, 690]",2015,2,24,2014/2015,2,4,2,15,"['START', 'JOIN', 'FINISH']",STAT,2,4
"[0, 0, 1010]",2015,2,24,2014/2015,2,4,2,15,"['START', 'JOIN', 'FINISH']",STAT,2,4
"[0, 0, 6278]",2015,2,24,2014/2015,2,4,2,15,"['START', 'JOIN', 'FINISH']",STAT,2,4
"[0, 0, 3208]",2015,2,24,2014/2015,2,4,2,16,"['START', 'JOIN', 'FINISH']",MATH,1,2
"[0, 0, 2380]",2015,2,24,2014/2015,2,4,2,16,"['START', 'JOIN', 'FINISH']",STAT,1,2
"[0, 0, 14]",2015,2,24,2014/2015,2,4,2,16,"['START', 'JOIN', 'FINISH']",STAT,2,2
